date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:27:06	32084/32084	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202016%2001:23:30%20GMT	http://livedemo00.template-help.com/wordpress_42973/	C:/Users/sitita/Desktop/Runner/Runner/livedemo00.template-help.com/wordpress_42973/index.html	(from )
08:27:07	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%2233c2800-1a-4a8a787408540%22	http://livedemo00.template-help.com/robots.txt		(from )
08:27:08	60593/60593	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2022%20Jul%202016%2020:31:54%20GMT	http://ajax.cloudflare.com/cdn-cgi/nexp/dok3v=0489c402f5/cloudflare.min.js	C:/Users/sitita/Desktop/Runner/Runner/ajax.cloudflare.com/cdn-cgi/nexp/dok3v=0489c402f5/cloudflare.min.js	(from http://livedemo00.template-help.com/wordpress_42973/)
08:27:08	5842/5842	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Jul%202016%2001:27:08%20GMT	http://gmpg.org/xfn/11	C:/Users/sitita/Desktop/Runner/Runner/gmpg.org/xfn/11.html	(from http://livedemo00.template-help.com/wordpress_42973/)
08:27:08	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Jul%202016%2001:27:09%20GMT	http://livedemo00.template-help.com/wordpress_42973/wp-content/themes/theme1978/favicon.ico	C:/Users/sitita/Desktop/Runner/Runner/livedemo00.template-help.com/wordpress_42973/wp-content/themes/theme1978/favicon.ico	(from http://livedemo00.template-help.com/wordpress_42973/)
08:27:08	894/894	---M--	200	added ('OK')	image/x-icon	etag:%22509be7ba-37e%22	http://static.livedemo00.template-help.com/wordpress_42973/wp-content/themes/theme1978/favicon.ico	C:/Users/sitita/Desktop/Runner/Runner/static.livedemo00.template-help.com/wordpress_42973/wp-content/themes/theme1978/favicon.ico	(from http://livedemo00.template-help.com/wordpress_42973/)
08:27:09	6700/6700	---MC-	520	error ('Origin%20Error')	text/html	date:Sat,%2030%20Jul%202016%2001:27:10%20GMT	http://livedemo00.template-help.com/wordpress_42973/xmlrpc.php	C:/Users/sitita/Desktop/Runner/Runner/livedemo00.template-help.com/wordpress_42973/xmlrpc.php	(from http://livedemo00.template-help.com/wordpress_42973/)
08:27:09	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Jul%202016%2001:27:10%20GMT	http://livedemo00.template-help.com/wordpress_42973/wp-content/themes/theme1978/bootstrap/css/bootstrap.css	C:/Users/sitita/Desktop/Runner/Runner/livedemo00.template-help.com/wordpress_42973/wp-content/themes/theme1978/bootstrap/css/bootstrap.css	(from http://livedemo00.template-help.com/wordpress_42973/)
08:27:10	123920/123920	---MCZ	200	added ('OK')	text/css	etag:W/%22512dc840-1e410%22	http://static.livedemo00.template-help.com/wordpress_42973/wp-content/themes/theme1978/bootstrap/css/bootstrap.css	C:/Users/sitita/Desktop/Runner/Runner/static.livedemo00.template-help.com/wordpress_42973/wp-content/themes/theme1978/bootstrap/css/bootstrap.css	(from http://livedemo00.template-help.com/wordpress_42973/)
08:27:11	1387/1387	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Jul%202016%2001:27:11%20GMT	http://livedemo00.template-help.com/wordpress_42973/wp-content/themes/theme1978/bootstrap/css/responsive.css	C:/Users/sitita/Desktop/Runner/Runner/livedemo00.template-help.com/wordpress_42973/wp-content/themes/theme1978/bootstrap/css/responsive.7.delayed	(from http://livedemo00.template-help.com/wordpress_42973/)
08:27:11	6046/6046	---MC-	520	error ('Origin%20Error')	text/html	date:Sat,%2030%20Jul%202016%2001:27:11%20GMT	http://livedemo00.template-help.com/wordpress_42973/feed/	C:/Users/sitita/Desktop/Runner/Runner/livedemo00.template-help.com/wordpress_42973/feed/index.html	(from http://livedemo00.template-help.com/wordpress_42973/)
